rule,good,bad,total,bad_rate,lift,depth
PsonAcStatus<=1.5 & CpnyIndustry<=14.5 & CpnyEcoType<=177.0 & CpnyEcoType>115.0 & CpnyIndustry>13.5 & PsonPayBase>1194.5 & LoanBal<=130350.9062 & CpnyMoPayAmt<=597.45 & LoanAmt<=129987.0 & PsonAcBalCurY>2143.34,43.0,8.0,51.0,0.1568627450980392,2.2758468639541416,10
PsonAcStatus<=1.5 & CpnyIndustry<=14.5 & CpnyEcoType>177.0 & CpnyEcoType>195.0 & PsonPayBase>6071.0 & CpnyIndustry<=13.5 & CpnyMoPayAmt>1609.08 & PsonPayBase>12811.25 & CpnyIndustry>3.5,48.0,8.0,56.0,0.14285714285714285,2.072646251101093,9
PsonAcStatus<=1.5 & CpnyIndustry<=14.5 & CpnyEcoType<=177.0 & CpnyEcoType<=115.0 & LoanBal>111236.2852 & PsonAcBalCurY>210.2675 & CpnyIndustry>4.5 & LoanRate<=2.8435 & BirthDate<=642826816.0 & CpnyIndustry<=12.5,370.0,61.0,431.0,0.14153132250580047,2.05341055503519,10
PsonAcStatus<=1.5 & CpnyIndustry<=14.5 & CpnyEcoType>177.0 & CpnyEcoType>195.0 & PsonPayBase<=6071.0 & CpnyIndustry<=13.5 & PsonMoPayAmt<=859.92 & BirthDate<=111643200.0 & PsonAcBalPreY<=6894.1802,43.0,7.0,50.0,0.14,2.0311933260790718,9
PsonAcStatus<=1.5 & CpnyIndustry<=14.5 & CpnyEcoType<=177.0 & CpnyEcoType>115.0 & CpnyIndustry>13.5 & PsonPayBase>1194.5 & LoanBal>130350.9062 & PsonAcBalPreY<=7141.2124 & BirthDate<=595612800.0 & PsonAcBalPreY>5892.5752,43.0,7.0,50.0,0.14,2.0311933260790718,10
PsonAcStatus<=1.5 & CpnyIndustry>14.5 & CpnyMoPayAmt>747.44 & CpnyEcoType<=145.5 & LoanAmt<=337737.0 & BirthDate<=237873600.0 & PsonPayBase<=9127.25 & LoanAmt>199987.0 & LoanBal<=118851.3633 & LoanAmt<=232737.0,45.0,7.0,52.0,0.1346153846153846,1.9530705058452609,10
PsonAcStatus<=1.5 & CpnyIndustry<=14.5 & CpnyEcoType<=177.0 & CpnyEcoType>115.0 & CpnyIndustry>13.5 & PsonPayBase>1194.5 & LoanBal<=130350.9062 & CpnyMoPayAmt<=597.45 & LoanAmt>129987.0 & PsonAcBalPreY>5388.99,50.0,7.0,57.0,0.12280701754385964,1.7817485316483082,10
PsonAcStatus<=1.5 & CpnyIndustry>14.5 & CpnyMoPayAmt>747.44 & CpnyEcoType<=145.5 & LoanAmt<=337737.0 & BirthDate<=237873600.0 & PsonPayBase<=9127.25 & LoanAmt<=199987.0 & LoanBal>53429.6934 & PsonAcBalPreY>60895.0977,44.0,6.0,50.0,0.12,1.7410228509249184,10
PsonAcStatus<=1.5 & CpnyIndustry>14.5 & CpnyMoPayAmt>747.44 & CpnyEcoType<=145.5 & LoanAmt<=337737.0 & BirthDate>237873600.0 & CpnyIndustry>17.5 & BirthDate>508780800.0 & PsonMoPayAmt<=836.935,44.0,6.0,50.0,0.12,1.7410228509249184,9
PsonAcStatus<=1.5 & CpnyIndustry<=14.5 & CpnyEcoType>177.0 & CpnyEcoType>195.0 & PsonPayBase<=6071.0 & CpnyIndustry<=13.5 & PsonMoPayAmt>859.92 & CpnyIndustry>2.5,83.0,11.0,94.0,0.11702127659574468,1.6978059716466403,8
PsonAcStatus<=1.5 & CpnyIndustry<=14.5 & CpnyEcoType<=177.0 & CpnyEcoType<=115.0 & LoanBal<=111236.2852 & CpnyIndustry>4.5 & CpnyIndustry<=12.5 & CpnyIndustry>11.5 & PsonPayBase<=4370.75,46.0,6.0,52.0,0.11538461538461539,1.6740604335816525,9
PsonAcStatus<=1.5 & CpnyIndustry<=14.5 & CpnyEcoType>177.0 & CpnyEcoType>195.0 & PsonPayBase>6071.0 & CpnyIndustry<=13.5 & CpnyMoPayAmt<=1609.08 & LoanBal<=55194.7266,77.0,10.0,87.0,0.11494252873563218,1.667646408931914,8
PsonAcStatus<=1.5 & CpnyIndustry<=14.5 & CpnyEcoType<=177.0 & CpnyEcoType<=115.0 & LoanBal<=111236.2852 & CpnyIndustry<=4.5 & ID>31316.0,79.0,10.0,89.0,0.11235955056179775,1.630171208731197,7
PsonAcStatus<=1.5 & CpnyIndustry>14.5 & CpnyMoPayAmt<=747.44 & LoanAmt<=316487.0 & CpnyEcoType<=182.5 & CpnyMoPayAmt>666.08 & BirthDate<=380001600.0 & LoanAmt>247737.0 & LoanBal>175895.2812 & PsonMoPayAmt>697.05,80.0,10.0,90.0,0.1111111111111111,1.6120581953008504,10
PsonAcStatus<=1.5 & CpnyIndustry<=14.5 & CpnyEcoType<=177.0 & CpnyEcoType>115.0 & CpnyIndustry>13.5 & PsonPayBase<=1194.5 & BirthDate<=619239616.0 & PsonAcBalPreY<=11624.5498 & LoanBal>91532.9922 & CpnyMoPayAmt<=299.075,67.0,8.0,75.0,0.10666666666666667,1.5475758674888165,10
PsonAcStatus<=1.5 & CpnyIndustry<=14.5 & CpnyEcoType<=177.0 & CpnyEcoType>115.0 & CpnyIndustry<=13.5 & LoanBal<=56492.1992 & BirthDate<=140544000.0 & LoanAmt<=117237.0,77.0,9.0,86.0,0.10465116279069768,1.5183338816205685,8
